timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
80251277,0.00802815,-0.0363008,-0.0224561,0.0
80451328,0.00729748,-0.0365018,-0.0193641,0.0
80649887,0.0064279,-0.0373683,-0.0179462,0.0
80849812,0.00819245,-0.0416547,-0.0189735,0.0
81049747,0.00783123,-0.0443299,-0.0221687,0.0
81249810,0.00897844,-0.0462365,-0.0253138,0.0
81452090,0.00800984,-0.0472957,-0.0257711,0.0
81652026,0.00620321,-0.0475319,-0.0236249,0.0
81850712,0.00653431,-0.0474275,-0.0263514,0.0
82050685,0.00527561,-0.0509307,-0.0280835,0.0
82249328,0.00157853,-0.0447947,-0.0291824,0.0
82449261,0.00147167,-0.0436187,-0.0293327,0.0
82649203,0.000315713,-0.0436786,-0.0294136,0.0
82851642,-0.00220022,-0.044894,-0.0294833,0.0
83051536,-0.00387223,-0.0478558,-0.0300078,0.0
83251467,-0.00352845,-0.0507086,-0.0308873,0.0
83450162,-0.00127649,-0.0514692,-0.0317448,0.0
83650089,-0.000407964,-0.0512636,-0.0314051,0.0
83848772,0.00243816,-0.0520601,-0.0316096,0.0
84052441,-0.00706581,-0.0481682,-0.0320459,0.0
84249883,-0.00480875,-0.0468964,-0.0330784,0.0
84451045,-0.00437082,-0.047221,-0.0332256,0.0
84650978,-0.00195377,-0.0502479,-0.0332364,0.0
84850927,-0.00132051,-0.0455729,-0.0334691,0.0
85049603,-0.00132381,-0.0438424,-0.0328522,0.0
85249527,-0.00125393,-0.0440106,-0.0322445,0.0
85451947,-0.000879392,-0.0401255,-0.0307618,0.0
85651873,0.00922923,-0.0424149,-0.0287565,0.0
85851807,-0.00141529,-0.0409388,-0.0276399,0.0
86050488,-0.00122011,-0.0391667,-0.0285071,0.0
86250428,-0.00308849,-0.0412801,-0.0285884,0.0
86450374,-0.00199471,-0.0414146,-0.0274239,0.0
86649281,-0.00396208,-0.0396048,-0.0270728,0.0
86852701,-0.00337238,-0.0369544,-0.0279647,0.0
87051392,-0.00336623,-0.040885,-0.0293604,0.0
87251315,-0.00816012,-0.042534,-0.0304037,0.0
87451426,-0.00284549,-0.044541,-0.0309254,0.0
87649934,-0.00789331,-0.0440462,-0.0308441,0.0
87851118,-0.0092444,-0.0439274,-0.0268347,0.0
88049803,-0.0107758,-0.0418914,-0.0199436,0.0
